OsID	species	experiment_acc	treatment	log2FC	adj_pvalue			
Os05g0158500	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Volano	-1.6	7.99E-08			
Os04g0615000	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 6 hour	-1.6	2.97E-06			
Os09g0441900	oryza sativa	E-MEXP-1766	"'24 hour, germination' vs '0 hour, dry seed'"	1.6	4.64E-06			
Os02g0120100	oryza sativa	E-GEOD-37161	potassium deprivation vs control at 120 hour	1.6	1.07E-05			
Os09g0441900	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 6 hour	-1.6	1.30E-05			
Os01g0718300	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in C418	1.6	2.41E-05			
Os01g0911700	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 24 hour; plant embryo coleoptile	1.6	4.44E-05			
Os04g0615000	oryza sativa	E-MTAB-1624	normal watering at 24 hours vs. 5 hours	1.6	6.40E-05			
Os04g0615000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; none	1.6	0.000157115			
Os01g0648000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME5 vs IR24; mock	1.6	0.000234637			
Os01g0307500	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in K354	-1.6	0.000324879			
Os05g0207500	oryza sativa	E-MEXP-2267	3 hour vs 1 hour in anaerobic	1.6	0.00040579			
Os01g0848400	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Volano	1.6	0.000527509			
Os01g0648000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME5 vs IR24; none	1.6	0.000619287			
Os03g0103300	oryza sativa	E-MTAB-6740	seed germination stage vs seed dormant stage in  30 degree celsius; 8 hour	-1.6	0.00109041			
Os01g0197100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; none	1.6	0.001278461			
Os02g0724000	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	1.6	0.001801803			
Os02g0703600	oryza sativa	E-GEOD-54243	15 day; 30 degree celsius vs 0 day; 20 degree celsius in hwi1	1.6	0.001861445			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; mock	1.6	0.002020959			
Os01g0883800	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99A vs Nipponbare; mock	-1.6	0.002097435			
Os01g0713600	oryza sativa	E-GEOD-33204	30 day; Huahui 1; control vs 30 day; wild type; control	1.6	0.002343183			
Os01g0848400	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	-1.6	0.003348335			
Os04g0401000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae T7174 vs IR24; none	-1.6	0.008045493			
Os01g0307500	oryza sativa	E-GEOD-54243	3 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	1.6	0.008963036			
Os05g0158500	oryza sativa	E-MEXP-2311	wild type; internode vs wild type; internode pith parenchyma	1.6	0.011819622			
Os01g0883800	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO86 vs Nipponbare; mock	-1.6	0.012194133			
Os02g0703600	oryza sativa	E-GEOD-60823	phosphate 200 micromolar vs none in spx1 spx2 mutant	1.6	0.014942482			
Os02g0703600	oryza sativa	E-GEOD-25206	lead; 100 micromolar vs water	-1.6	0.01871433			
Os05g0158500	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 24 hour	-1.6	0.03006653			
Os02g0703600	oryza sativa	E-GEOD-61833	Xanthomonas oryzae pv oryzae BXO1002 (EPS-) vs water	1.6	0.046830154			
Os03g0112700	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	1.5	9.17E-50			
Os01g0859300	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 30 degree celsius	-1.5	2.46E-48			
Os01g0307500	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 528 hour	1.5	3.40E-24			
Os01g0648000	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 505 hour	1.5	1.75E-23			
Os03g0700400	oryza sativa	E-GEOD-116423	ZnF8 deletion mutant vs wild type genotype in ZnF8 cohort	1.5	5.19E-21			
Os04g0615000	oryza sativa	E-MTAB-6740	30 degree celsius vs 10 degree celsius in seed dormant stage; 8 hour	1.5	7.38E-16			
Os04g0615000	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in shoot at 24 hour	-1.5	1.79E-11			
Os09g0441900	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 96 hour; coleoptile	1.5	4.34E-11			
Os05g0158500	oryza sativa	E-MTAB-4994	drought environment vs normal watering	-1.5	9.44E-08			
Os01g0848400	oryza sativa	E-MTAB-4994	drought environment vs normal watering	-1.5	9.84E-08			
Os04g0469800	oryza sativa	E-MTAB-3230	PEG Stress vs normal in Mutant	-1.5	2.48E-06			
Os03g0103300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain L8 vs mock	-1.5	1.02E-05			
Os01g0718300	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in C418	1.5	1.02E-05			
Os03g0700400	oryza sativa	E-MTAB-6740	seed germination stage vs seed dormant stage in  30 degree celsius; 8 hour	1.5	1.05E-05			
Os05g0207500	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 6 hour	-1.5	2.19E-05			
Os05g0207500	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 3 hour	-1.5	2.53E-05			
Os05g0158500	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in C418	-1.5	2.62E-05			
Os05g0158500	oryza sativa	E-MTAB-1625	300 millimolar sodium chloride at 24 hours vs. 5 hours	-1.5	4.13E-05			
Os02g0724000	oryza sativa	E-GEOD-37940	12 hour;cold stress vs 0 hour;control in K354	1.5	6.87E-05			
Os05g0158500	oryza sativa	E-MEXP-2267	24 hour vs 1 hour in anaerobic	1.5	9.46E-05			
Os02g0703600	oryza sativa	E-MTAB-5759	OsMPH1 knockdown vs wild type genotype	1.5	9.56E-05			
Os04g0615000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; mock	1.5	0.000177953			
Os01g0307500	oryza sativa	E-GEOD-42028	MADS29 OX overexpression vs wild type	-1.5	0.000220849			
Os01g0859300	oryza sativa	E-GEOD-116423	ZnF5 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	-1.5	0.000231637			
Os03g0122600	oryza sativa	E-GEOD-25073	CHR729 mutant vs wild type	-1.5	0.000264448			
Os03g0112700	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 48 hour vs control; tolerant to chilling	1.5	0.000325599			
Os04g0469800	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 3 hour	-1.5	0.000337896			
Os04g0401000	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99AME5 vs Nipponbare; mock	1.5	0.000385724			
Os02g0787300	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; none	-1.5	0.000453789			
Os02g0120100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; none	1.5	0.000900422			
Os09g0441900	oryza sativa	E-GEOD-44250	potassium deficient medium with 6 hour resupply vs potassium deficient medium with no resupply	-1.5	0.001041025			
Os03g0122600	oryza sativa	E-GEOD-44250	potassium deficient medium with 6 hour resupply vs potassium deficient medium with no resupply	1.5	0.001097712			
Os01g0307500	oryza sativa	E-GEOD-54243	7 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	1.5	0.001234249			
Os05g0158500	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in shoot at 24 hour	-1.5	0.001254175			
Os01g0859300	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	1.5	0.001490335			
Os04g0615000	oryza sativa	E-GEOD-29967	Rathu Heenati; resistant variety to brown planthopper; 8 hour vs Rathu Heenati; resistant variety to brown planthopper; 0 hour	-1.5	0.001816384			
Os02g0703600	oryza sativa	E-GEOD-54243	7 day; 30 degree celsius vs 0 day; 20 degree celsius in hwi1	1.5	0.002372581			
Os04g0401000	oryza sativa	E-GEOD-54243	15 day; 30 degree celsius vs 0 day; 20 degree celsius in hwi1	1.5	0.002628213			
Os02g0703600	oryza sativa	E-GEOD-60823	phosphate 200 micromolar vs none in wild type	1.5	0.003080401			
Os08g0509600	oryza sativa	E-GEOD-54243	7 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	-1.5	0.004329166			
Os01g0883800	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain RS105 vs mock	-1.5	0.00582034			
Os09g0441900	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in K354	1.5	0.007625878			
Os08g0509600	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	1.5	0.012090323			
Os03g0122600	oryza sativa	E-GEOD-54243	15 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	1.5	0.012991793			
Os04g0401000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; none	-1.5	0.013497446			
Os01g0648000	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 10 degree celsius	1.5	0.013842712			
Os02g0724000	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 1 hour	-1.5	0.017724498			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO86 vs IR24; none	1.5	0.023273249			
Os04g0401000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME7 vs IR24; none	-1.5	0.026445272			
Os02g0120100	oryza sativa	E-GEOD-22538	gall midge biotype 4M (GMB4M) vs control	-1.5	0.033996471			
Os02g0120100	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 72 hour; coleoptile	1.4	2.31E-89			
Os04g0401000	oryza sativa	E-MTAB-5025	Laodelphax striatella vs none	-1.4	1.87E-46			
Os02g0120100	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 504 hour	-1.4	1.09E-26			
Os02g0724000	oryza sativa	E-MTAB-5025	microinjection with insect-derived Rice stripe virus vs microinjection with extracts of nonviruliferous planthoppers	1.4	8.31E-23			
Os03g0700400	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 504 hour	1.4	2.45E-16			
Os02g0787300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS256 vs mock	1.4	2.90E-13			
Os02g0787300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain RS105 vs mock	1.4	2.49E-10			
Os01g0648000	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 48 hour; coleoptile	-1.4	3.37E-10			
Os03g0112700	oryza sativa	E-MTAB-4994	drought environment vs normal watering	1.4	5.01E-08			
Os03g0112700	oryza sativa	E-MTAB-4050	N-acetylchitoheptaose vs mock in wild type	1.4	1.54E-07			
Os02g0724000	oryza sativa	E-MTAB-1625	300 millimolar sodium chloride at 24 hours vs. 5 hours	1.4	3.85E-07			
Os01g0648000	oryza sativa	E-GEOD-29577	coi1-13 mutant vs wild type	1.4	1.11E-06			
Os01g0922800	oryza sativa	E-MEXP-2267	27 hour vs 1 hour in anaerobic	-1.4	6.39E-06			
Os02g0120100	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 1 hour	1.4	6.83E-06			
Os01g0922800	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	-1.4	1.19E-05			
Os01g0648000	oryza sativa	E-CURD-37	nitrogen fertiliser vs none in Pyricularia oryzae at 2 day	1.4	2.64E-05			
Os02g0120100	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	1.4	3.20E-05			
Os02g0120100	oryza sativa	E-MEXP-2267	27 hour vs 1 hour in anaerobic	1.4	3.81E-05			
Os03g0103300	oryza sativa	E-MTAB-5941	Volano vs Thaibonnet in cold temperature regimen at 2 hour	1.4	4.04E-05			
Os02g0120100	oryza sativa	E-MTAB-5025	Laodelphax striatella vs none	-1.4	4.96E-05			
Os01g0307500	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in C418	-1.4	7.82E-05			
Os02g0787300	oryza sativa	E-GEOD-37940	2 hour;cold stress vs 0 hour;control in C418	1.4	9.64E-05			
Os01g0911700	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 6 hour	1.4	0.000103147			
Os01g0648000	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in K354	-1.4	0.000111706			
Os02g0724000	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 24 hour	1.4	0.000137353			
Os01g0648000	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 48 hour vs control; tolerant to chilling	-1.4	0.00028677			
Os01g0883800	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 8 hour vs control; sensitive to chilling	-1.4	0.000325826			
Os04g0615000	oryza sativa	E-MTAB-1624	300 millimolar sodium chloride at 24 hours vs. 5 hours	1.4	0.000399412			
Os09g0441900	oryza sativa	E-MTAB-5524	4-chloro-6-methyl-2-phenylpyrimidine; 100 micromolar vs vehicle at 4 hour	-1.4	0.000406171			
Os01g0648000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; mock	1.4	0.000600596			
Os02g0724000	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 48 hour vs control; tolerant to chilling	1.4	0.000658392			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; mock	1.4	0.000706425			
Os02g0120100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; none	1.4	0.00077488			
Os01g0718300	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	-1.4	0.000838672			
Os02g0120100	oryza sativa	E-GEOD-39298	Epi-df vs wild type	1.4	0.0009133			
Os01g0197100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; none	1.4	0.000934134			
Os03g0122600	oryza sativa	E-GEOD-39298	Epi-df vs wild type	-1.4	0.001005425			
Os01g0883800	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 2 hour vs control; sensitive to chilling	-1.4	0.001080759			
Os01g0648000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; none	1.4	0.001278741			
Os01g0848400	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 2 hour vs control; sensitive to chilling	1.4	0.001641189			
Os01g0718300	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 8 hour vs control; sensitive to chilling	1.4	0.001730674			
Os01g0859300	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 6 hour	1.4	0.002149007			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae BLS303 vs IR24; none	1.4	0.002172234			
Os02g0120100	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 8 hour vs control; tolerant to chilling	1.4	0.002240342			
Os05g0187500	oryza sativa	E-GEOD-39432	21 days after flowering vs 7 days after flowering in endosperm	1.4	0.002304774			
Os04g0401000	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99A vs Nipponbare; mock	1.4	0.00293995			
Os05g0158500	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 2 hour vs control; tolerant to chilling	-1.4	0.004071442			
Os01g0859300	oryza sativa	E-GEOD-46867	pho2 knockout vs wild type in root	-1.4	0.006242908			
Os09g0441900	oryza sativa	E-GEOD-38023	recovery from cold stress; tolerant to chilling; 24 hour vs control; tolerant to chilling	-1.4	0.006891711			
Os06g0623700	oryza sativa	E-GEOD-93081	Rcc3-OsERF48 vs wild type genotype	1.4	0.006992471			
Os04g0469800	oryza sativa	E-MTAB-3230	PEG Stress vs normal in Wild Type	-1.4	0.00811469			
Os01g0307500	oryza sativa	E-CURD-37	nitrogen fertiliser vs none in none at 2 day	-1.4	0.009718857			
Os02g0120100	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP2286 vs mock	1.4	0.009933486			
Os02g0724000	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO86 vs Nipponbare; mock	1.4	0.010972625			
Os01g0883800	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS279 vs mock	-1.4	0.014363403			
Os05g0207500	oryza sativa	E-GEOD-25206	chromium(6+); 100 micromolar vs water	-1.4	0.029042469			
Os01g0648000	oryza sativa	E-CURD-37	Pyricularia oryzae vs none in nitrogen fertiliser at 2 day	1.4	0.039574133			
Os04g0615000	oryza sativa	E-GEOD-29967	Taichung Native 1; sensitive variety to brown planthopper; 8 hour vs Taichung Native 1; sensitive variety to brown planthopper; 0 hour	-1.4	0.041866096			
Os03g0700400	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS256 vs mock	-1.4	0.049752581			
Os09g0441900	oryza sativa	E-GEOD-116423	ZnF5 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	1.3	2.89E-31			
Os04g0615000	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 6 hour	-1.3	2.41E-20			
Os03g0700400	oryza sativa	E-GEOD-116423	ZnF5 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	-1.3	9.12E-20			
Os02g0120100	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 528 hour	-1.3	1.91E-19			
Os01g0307500	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 504 hour	1.3	1.03E-15			
Os02g0703600	oryza sativa	E-MTAB-5025	Laodelphax striatella vs none	-1.3	9.13E-14			
Os02g0787300	oryza sativa	E-GEOD-115371	72 hour anaerobic environment; 24 hour aerobic environment vs none in 96 hour; coleoptile	-1.3	6.22E-12			
Os05g0158500	oryza sativa	E-MTAB-1625	normal watering at 24 hours vs. 5 hours	-1.3	2.14E-10			
Os04g0615000	oryza sativa	E-MTAB-5025	microinjection with insect-derived Rice stripe virus vs microinjection with extracts of nonviruliferous planthoppers	1.3	9.33E-10			
Os02g0120100	oryza sativa	E-MTAB-6740	30 degree celsius vs 10 degree celsius in seed dormant stage; 192 hour	-1.3	3.32E-09			
Os02g0787300	oryza sativa	E-MTAB-6740	seed germination stage vs seed dormant stage in  30 degree celsius; 8 hour	1.3	9.78E-09			
Os05g0158500	oryza sativa	E-GEOD-115371	72 hour anaerobic environment; 24 hour aerobic environment vs none in 96 hour; coleoptile	1.3	2.89E-08			
Os04g0401000	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 12 hour	-1.3	5.29E-08			
Os01g0922800	oryza sativa	E-MEXP-1766	"'12 hour, germination' vs '0 hour, dry seed'"	-1.3	6.95E-06			
Os09g0441900	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in moderately resistant to bacterial panicle blight disease at seedling stage	-1.3	1.72E-05			
Os04g0469800	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 6 hour	-1.3	2.78E-05			
Os03g0793500	oryza sativa	E-MEXP-1766	"'12 hour, germination' vs '0 hour, dry seed'"	-1.3	4.14E-05			
Os01g0648000	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in K354	-1.3	4.32E-05			
Os01g0648000	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in C418	-1.3	4.89E-05			
Os03g0793500	oryza sativa	E-MEXP-2267	24 hour vs 1 hour in anaerobic	-1.3	6.00E-05			
Os01g0648000	oryza sativa	E-GEOD-37940	6 hour;cold stress vs 0 hour;control in K354	-1.3	8.76E-05			
Os02g0787300	oryza sativa	E-MEXP-2267	3 hour vs 1 hour in anaerobic	1.3	8.91E-05			
Os01g0648000	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	-1.3	0.000133469			
Os01g0648000	oryza sativa	E-GEOD-25206	chromium(6+); 100 micromolar vs water	-1.3	0.000138028			
Os01g0718300	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	1.3	0.000494048			
Os02g0120100	oryza sativa	E-GEOD-46867	pho2 knockout vs wild type in root	1.3	0.000559288			
Os01g0648000	oryza sativa	E-GEOD-46867	gi knockout vs wild type in shoot	-1.3	0.000714628			
Os01g0848400	oryza sativa	E-GEOD-37940	6 hour;cold stress vs 0 hour;control in C418	1.3	0.000716952			
Os01g0859300	oryza sativa	E-MTAB-5524	fenclorim; 100 micromolar vs vehicle at 4 hour	1.3	0.001032068			
Os02g0703600	oryza sativa	E-GEOD-31834	upper shoot base; 6 hour; after gravistimulation vs shoot base; control	1.3	0.00110252			
Os05g0187500	oryza sativa	E-GEOD-21396	1.6-2.0 mm vs 0.7-1.0 mm in anther	-1.3	0.001260601			
Os02g0703600	oryza sativa	E-MTAB-5524	fenclorim; 100 micromolar vs vehicle at 4 hour	1.3	0.001323543			
Os01g0197100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae T7174 vs IR24; none	1.3	0.001336241			
Os04g0469800	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	-1.3	0.001382314			
Os01g0713600	oryza sativa	E-MTAB-6740	seed germination stage vs seed dormant stage in  30 degree celsius; 8 hour	-1.3	0.001420806			
Os02g0120100	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Volano	1.3	0.001532452			
Os01g0883800	oryza sativa	E-GEOD-40242	cea62 mutant vs wild type	-1.3	0.001755019			
Os02g0703600	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99AME5 vs Nipponbare; mock	1.3	0.001870133			
Os04g0469800	oryza sativa	E-GEOD-33441	5 days after pollination stage; cyn mutant vs 5 days after pollination stage; wild type	1.3	0.002121862			
Os01g0197100	oryza sativa	E-GEOD-46867	pho2 knockout vs wild type in shoot	1.3	0.002537043			
Os05g0158500	oryza sativa	E-GEOD-58603	abscisic acid; salt-tolerant introgression line PL177; sodium chloride 140 millimolar; root vs none; salt-tolerant introgression line PL177; sodium chloride 140 millimolar; root	-1.3	0.002837637			
Os05g0158500	oryza sativa	E-MTAB-4406	moderately resistant to bacterial panicle blight disease vs susceptible to bacterial panicle blight disease in control at flowering stage	1.3	0.003440046			
Os02g0787300	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; mock	-1.3	0.00413999			
Os03g0122600	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 3 hour	1.3	0.004229942			
Os01g0718300	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 48 hour vs control; sensitive to chilling	1.3	0.004884579			
Os05g0158500	oryza sativa	E-MTAB-1624	300 millimolar sodium chloride at 24 hours vs. 5 hours	-1.3	0.006352025			
Os01g0911700	oryza sativa	E-GEOD-33441	5 days after pollination stage; cyn mutant vs 5 days after pollination stage; wild type	-1.3	0.008809161			
Os05g0158500	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 8 hour vs control; tolerant to chilling	-1.3	0.009966618			
Os01g0883800	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; shoot at 505 hour	-1.3	0.014652146			
Os01g0307500	oryza sativa	E-GEOD-116423	ZnF5 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	-1.3	0.015067483			
Os01g0883800	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 72 hour; coleoptile	-1.3	0.016197515			
Os02g0787300	oryza sativa	E-GEOD-54466	drought vs control in osnox2 mutant	1.3	0.020839999			
Os05g0187500	oryza sativa	E-MTAB-3834	submergence low oxygen vs normal air	-1.3	0.020843525			
Os02g0120100	oryza sativa	E-GEOD-45724	alkali; Jijing88 vs control; Jijing88	1.3	0.022635097			
Os04g0401000	oryza sativa	E-GEOD-37940	2 hour;cold stress vs 0 hour;control in C418	-1.3	0.027742335			
Os01g0883800	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	-1.3	0.032650053			
Os02g0703600	oryza sativa	E-MTAB-4050	N-acetylchitoheptaose vs mock in wild type	1.3	0.034146527			
Os03g0700400	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7341 vs mock	-1.3	0.041635762			
Os01g0922800	oryza sativa	E-MTAB-6740	30 degree celsius vs 10 degree celsius in seed dormant stage; 192 hour	-1.2	7.37E-24			
Os05g0158500	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	-1.2	2.69E-18			
Os04g0615000	oryza sativa	E-MTAB-1625	normal watering at 5 hours vs. 1 hour	-1.2	4.28E-17			
Os02g0724000	oryza sativa	E-GEOD-115371	72 hour anaerobic environment; 24 hour aerobic environment vs none in 96 hour; coleoptile	-1.2	1.34E-15			
Os02g0787300	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 0.5 hour	1.2	8.07E-10			
Os02g0724000	oryza sativa	E-MTAB-6740	seed germination stage vs seed dormant stage in  30 degree celsius; 8 hour	-1.2	9.66E-10			
Os01g0883800	oryza sativa	E-GEOD-116423	ZnF8 deletion mutant vs wild type genotype in ZnF8 cohort	1.2	3.45E-09			
Os02g0787300	oryza sativa	E-MTAB-4050	N-acetylchitoheptaose vs mock in wild type	1.2	1.02E-07			
Os02g0724000	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain B8-12 vs mock	1.2	3.29E-07			
Os02g0703600	oryza sativa	E-GEOD-47812	non-aromatic RILs vs non-aromatic parent	1.2	5.12E-07			
Os05g0158500	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; shoot at 528 hour	1.2	9.97E-07			
Os01g0718300	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 10 degree celsius	1.2	2.53E-06			
Os02g0787300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7342 vs mock	1.2	6.09E-06			
Os01g0718300	oryza sativa	E-MEXP-1766	"'24 hour, germination' vs '0 hour, dry seed'"	1.2	6.91E-06			
Os01g0911700	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	-1.2	7.32E-06			
Os01g0911700	oryza sativa	E-MEXP-2267	27 hour vs 1 hour in anaerobic	-1.2	1.08E-05			
Os02g0703600	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 3 hour	1.2	2.62E-05			
Os02g0724000	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 6 hour	-1.2	2.97E-05			
Os02g0120100	oryza sativa	E-MEXP-2267	24 hour vs 1 hour in anaerobic	1.2	3.84E-05			
